id,ingameId,gear,type,set,rank,level,enhance,mainStatType,mainStatValue,gearScore,dScore,sScore,cScore,maxEnhancementRolls,totalEnhancementRolls,hasSpike,hasModified,bestRole,usefulStatCount,slotPreferredStatCount,mainStatPreferred,quality,reason
1192549342,1192549342,Helmet,helm,AttackSet,Heroic,90,15,Health,2835.0,59.857142857142854,44.857142857142854,26.0,44.857142857142854,2,4,false,true,DPS,3,0,false,KEEP,Modified substat (safe)
4255531739,4255531739,Armor,armor,SpeedSet,Epic,90,15,Defense,310.0,68.85714285714286,22.857142857142854,32.0,54.857142857142854,2,5,false,false,BRUISER,3,0,false,REVIEW,High Gear Score but incomplete role signal
4274548604,4274548604,Ring,ring,AttackSet,Epic,88,15,AttackPercent,65.0,55.22857142857143,24.228571428571428,18.0,24.228571428571428,2,5,false,false,SUPPORT,1,1,false,DELETE_CANDIDATE,Low-quality spread with weak role signal
4325657801,4325657801,Ring,ring,CriticalSet,Heroic,90,15,EffectivenessPercent,65.0,53.81731527093596,49.857142857142854,10.0,53.81731527093596,3,4,true,true,DPS,3,1,false,KEEP,Modified substat (safe)
4325955390,4325955390,Helmet,helm,HitSet,Heroic,90,15,Health,2835.0,65.85714285714286,14.857142857142858,27.0,41.857142857142854,2,4,false,false,BRUISER,3,0,false,REVIEW,Broad role fit with borderline Gear Score
4341328535,4341328535,Helmet,helm,CriticalSet,Heroic,90,15,Health,2835.0,56.857142857142854,50.857142857142854,10.0,56.857142857142854,2,4,false,false,BRUISER,4,0,false,DELETE_CANDIDATE,Low-quality spread with weak role signal
4348411933,4348411933,Boots,boot,CriticalSet,Epic,90,15,AttackPercent,65.0,65.18258620689656,46.400000000000006,0.0,50.18258620689656,2,5,false,false,DPS,2,0,true,REVIEW,Broad role fit with borderline Gear Score
4348428338,4348428338,Necklace,neck,SpeedSet,Heroic,90,15,CriticalHitDamagePercent,70.0,56.4,39.4,4.0,39.4,2,4,false,true,DPS,3,2,true,KEEP,Modified substat (safe)
4348428879,4348428879,Necklace,neck,SpeedSet,Heroic,90,15,CriticalHitChancePercent,60.0,51.56790640394089,31.714285714285715,42.0,51.56790640394089,3,4,true,false,BRUISER,3,2,true,KEEP,Strong slot/main-stat role fit
4358826772,4358826772,Helmet,helm,DefenseSet,Epic,90,15,Health,2835.0,65.97142857142858,65.97142857142858,6.0,65.97142857142858,2,5,false,true,DPS,4,0,false,KEEP,Modified substat (safe)
4437347548,4437347548,Armor,armor,HitSet,Heroic,90,15,Defense,310.0,66.4,40.400000000000006,27.0,40.400000000000006,2,4,false,false,DPS,2,0,false,REVIEW,High Gear Score but incomplete role signal
4479273278,4479273278,Armor,armor,HealthSet,Heroic,90,15,Defense,310.0,62.0,8.0,41.0,41.0,2,4,false,true,DEBUFFER,4,0,false,KEEP,Modified substat (safe)
4493305159,4493305159,Weapon,weapon,CriticalSet,Heroic,90,15,Attack,525.0,56.11428571428571,56.11428571428571,20.0,56.11428571428571,2,4,false,false,DPS,4,0,false,DELETE_CANDIDATE,Low-quality spread with weak role signal
4510743125,4510743125,Necklace,neck,SpeedSet,Heroic,90,15,HealthPercent,65.0,57.78258620689655,26.0,54.0,44.78258620689655,2,4,false,true,SUPPORT,3,1,true,KEEP,Modified substat (safe)
4531281805,4531281805,Ring,ring,CriticalSet,Epic,90,15,AttackPercent,65.0,62.27709677419355,18.8,30.0,62.27709677419355,2,5,false,true,BRUISER,3,1,true,KEEP,Modified substat (safe)
4577708077,4577708077,Boots,boot,CriticalSet,Heroic,90,15,AttackPercent,65.0,62.0,38.0,36.0,38.0,3,4,true,true,DPS,2,1,true,KEEP,Modified substat (safe)
4596860785,4596860785,Weapon,weapon,LifestealSet,Epic,85,15,Attack,500.0,59.4,47.4,22.0,59.4,2,5,false,false,DPS,3,0,false,REVIEW,Broad role fit with borderline Gear Score
4602322984,4602322984,Helmet,helm,HitSet,Epic,90,15,Health,2835.0,72.0,21.0,55.0,54.0,3,5,true,false,SUPPORT,3,0,false,REVIEW,High Gear Score but incomplete role signal
4636516167,4636516167,Weapon,weapon,SpeedSet,Heroic,90,15,Attack,525.0,66.91428571428571,57.91428571428571,9.0,66.91428571428571,3,4,true,false,DPS,3,0,false,REVIEW,High Gear Score but incomplete role signal
4695964026,4695964026,Armor,armor,LifestealSet,Epic,85,15,Defense,300.0,58.0,22.0,38.0,30.0,3,5,true,true,DEBUFFER,3,0,false,KEEP,Modified substat (safe)
4704083628,4704083628,Boots,boot,LifestealSet,Epic,85,15,AttackPercent,60.0,56.8,32.8,12.0,32.8,3,5,true,true,DPS,3,1,true,KEEP,Modified substat (safe)
4704128443,4704128443,Necklace,neck,LifestealSet,Epic,85,15,AttackPercent,60.0,58.0,34.0,45.0,53.0,3,5,true,false,BRUISER,3,2,false,KEEP,Spike with coherent role fit
4766868678,4766868678,Helmet,helm,HitSet,Epic,90,15,Health,2835.0,68.28571428571428,59.285714285714285,27.0,59.285714285714285,4,5,true,false,DPS,3,0,false,REVIEW,High Gear Score but incomplete role signal
4774406177,4774406177,Boots,boot,CriticalSet,Heroic,90,15,Speed,45.0,65.0,16.0,26.0,42.0,2,4,false,false,BRUISER,3,2,true,KEEP,Strong slot/main-stat role fit
4784528403,4784528403,Weapon,weapon,SpeedSet,Heroic,90,15,Attack,525.0,67.74285714285715,26.742857142857144,41.0,61.74285714285715,3,4,true,false,BRUISER,3,0,false,REVIEW,High Gear Score but incomplete role signal
4791467162,4791467162,Armor,armor,CriticalSet,Heroic,90,15,Defense,310.0,62.14285714285714,31.142857142857142,53.0,62.14285714285714,2,4,false,false,BRUISER,4,0,false,REVIEW,Broad role fit with borderline Gear Score
4793103468,4793103468,Weapon,weapon,DefenseSet,Epic,90,15,Attack,525.0,71.0,42.0,57.0,42.0,3,5,true,true,SUPPORT,2,0,false,KEEP,Modified substat (safe)
4859407187,4859407187,Armor,armor,HitSet,Epic,90,15,Defense,310.0,68.57142857142857,28.57142857142857,48.0,41.57142857142857,2,5,false,false,SUPPORT,3,0,false,REVIEW,High Gear Score but incomplete role signal
4927005663,4927005663,Weapon,weapon,CriticalSet,Epic,90,15,Attack,525.0,62.0,39.0,44.0,39.0,3,5,true,false,SUPPORT,2,0,false,REVIEW,Broad role fit with borderline Gear Score
5213619527,5213619527,Ring,ring,ImmunitySet,Epic,90,15,EffectivenessPercent,65.0,65.0,37.0,58.0,60.0,3,5,true,false,SUPPORT,3,2,false,KEEP,Exceptional Speed safety rule
5598436690,5598436690,Armor,armor,CounterSet,Heroic,90,15,Defense,310.0,62.0,8.0,35.0,21.0,2,4,false,false,SUPPORT,2,0,false,REVIEW,Broad role fit with borderline Gear Score
5598438218,5598438218,Armor,armor,HealthSet,Heroic,90,15,Defense,310.0,60.0,6.0,47.0,12.0,3,4,true,false,SUPPORT,3,0,false,REVIEW,Broad role fit with borderline Gear Score
5696644957,5696644957,Weapon,weapon,AttackSet,Epic,90,15,Attack,525.0,67.0,22.0,26.0,22.0,3,5,true,false,DEBUFFER,2,0,false,REVIEW,High Gear Score but incomplete role signal
5696644958,5696644958,Helmet,helm,AttackSet,Epic,90,15,Health,2835.0,68.45714285714286,68.45714285714286,10.0,68.45714285714286,3,5,true,true,DPS,4,0,false,KEEP,Modified substat (safe)
5721585851,5721585851,Weapon,weapon,SpeedSet,Heroic,90,15,Attack,525.0,56.82857142857142,51.82857142857142,10.0,51.82857142857142,3,4,true,false,DPS,3,0,false,DELETE_CANDIDATE,Low-quality spread with weak role signal
5760243825,5760243825,Weapon,weapon,CriticalSet,Epic,90,15,Attack,525.0,70.85714285714286,62.857142857142854,26.0,70.85714285714286,4,5,true,false,BRUISER,3,0,false,REVIEW,High Gear Score but incomplete role signal
5760272626,5760272626,Weapon,weapon,CriticalSet,Epic,90,15,Attack,525.0,69.2,62.2,27.0,62.2,3,5,true,true,DPS,3,0,false,KEEP,Modified substat (safe)
5768755927,5768755927,Armor,armor,SpeedSet,Epic,90,15,Defense,310.0,64.4,22.4,50.0,64.4,5,5,true,false,BRUISER,4,0,false,REVIEW,Broad role fit with borderline Gear Score
